candidate_case_id,site,date,aqs_site_id,aqs_parameter_code,aqs_poc,appendix_c_pm25_mass_ug_m3,aqs_sass_pm25_mass_ug_m3,absolute_difference_ug_m3,matches_report_precision,method_code,method_name,inference_limit
fairbanks_state_building_2009-01-10,state_building,2009-01-10,02-090-0010,88502,6,56.7,56.7,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-13,state_building,2009-01-13,02-090-0010,88502,6,31.4,31.3,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-16,state_building,2009-01-16,02-090-0010,88502,6,2.3,2.2,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-19,state_building,2009-01-19,02-090-0010,88502,6,8.2,8.1,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-22,state_building,2009-01-22,02-090-0010,88502,6,6.4,6.4,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-25,state_building,2009-01-25,02-090-0010,88502,6,26.7,26.7,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-28,state_building,2009-01-28,02-090-0010,88502,6,31.5,31.4,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-01-31,state_building,2009-01-31,02-090-0010,88502,6,13.4,13.4,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-03,state_building,2009-02-03,02-090-0010,88502,6,18.7,18.7,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-09,state_building,2009-02-09,02-090-0010,88502,6,12.3,12.2,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-12,state_building,2009-02-12,02-090-0010,88502,6,18.6,18.5,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-15,state_building,2009-02-15,02-090-0010,88502,6,29.6,29.6,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-18,state_building,2009-02-18,02-090-0010,88502,6,23.3,23.3,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-21,state_building,2009-02-21,02-090-0010,88502,6,15.6,15.5,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-24,state_building,2009-02-24,02-090-0010,88502,6,19.6,19.6,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-02-27,state_building,2009-02-27,02-090-0010,88502,6,6.9,6.9,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-02,state_building,2009-03-02,02-090-0010,88502,6,15.7,15.6,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-05,state_building,2009-03-05,02-090-0010,88502,6,5.7,5.6,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-08,state_building,2009-03-08,02-090-0010,88502,6,10.2,10.2,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-11,state_building,2009-03-11,02-090-0010,88502,6,16.1,16.1,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-14,state_building,2009-03-14,02-090-0010,88502,6,14.9,14.8,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-17,state_building,2009-03-17,02-090-0010,88502,6,10.0,10,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-23,state_building,2009-03-23,02-090-0010,88502,6,9.6,9.5,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-03-29,state_building,2009-03-29,02-090-0010,88502,6,10.0,10,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-04-01,state_building,2009-04-01,02-090-0010,88502,6,9.6,9.5,0.1,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-04-04,state_building,2009-04-04,02-090-0010,88502,6,7.8,7.8,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
fairbanks_state_building_2009-04-07,state_building,2009-04-07,02-090-0010,88502,6,10.4,10.4,0,yes,810,Met One SASS/SuperSASS Teflon - Gravimetric,Strong site/date/instrument linkage only; this does not prove the exact historical CMB uncertainty vector or final fitting species.
