source_id,title,url,retrieval_date,sha256,bytes,rights_status,repository_action,evidence_use,notes
barrett_2016_dissertation,"Barrett 2016 Baylor dissertation",https://baylor-ir.tdl.org/items/fe9e69e5-363a-4b52-9a88-674af08263ea,2026-09-21,abfbac7f88ff8f73ef2724b988e3418c8515950ada4ace5526293b03f9288853,16428674,Baylor institutional-repository dissertation,metadata_only,"Barrow methods; wood-profile selection sequence; appendix cross-check","Repository MD5 matched; raw PDF retained outside GitHub"
arm_bbcsi_report,"ARM BARROWBLACK/BBCSI final report",https://doi.org/10.2172/1192173,2026-09-21,be4152fa7b41671d65838c13336ec31f3d96d1ae1cf863b39bbe76f2a9196d25,864441,US Department of Energy public report,metadata_only,"Campaign provenance and archived physical-sample inventory","ARM campaign nsa2012barrowblack exposes no current electronic CMB dataset"
xu_2021,"Xu et al. Source apportionment of fine organic carbon at an urban and a rural site in Beijing",https://pure-oai.bham.ac.uk/ws/portalfiles/portal/136160375/d0fd00095g.pdf,2026-09-21,fb1759c07dc3813bfc256173892742e3c4093442d0d972cb37bde531fe4d6d3b,966170,CC BY,metadata_only,"APHH CMB/radiocarbon methods and seasonal Table 2","Raw PDF retained outside GitHub"
aphh_edata_572,"Radiocarbon and extended Gelencser APHH-Beijing dataset",https://edata.bham.ac.uk/572/,2026-09-21,ac2e725312e8339db3770583280b55768336f324d727b3bfaecd8b6aed90cd6f,21633,CC BY 4.0,metadata_only,"25 dated radiocarbon/extended-Gelencser rows","Repository MD5 matched; workbook retained outside GitHub"
hou_2021_si,"Hou et al. APHH radiocarbon/source-apportionment supplement",https://acp.copernicus.org/articles/21/8273/2021/acp-21-8273-2021-supplement.pdf,2026-09-21,9f3cdad8e7581791763c1e19ffd925af1fba49f8ab66e9222778b9162207f7a2,,CC BY 4.0,metadata_only,"Radiocarbon and extended-Gelencser method support","No daily CMB inputs"
xu_iap_2021_si,"Xu et al. IAP CMB article supplement",https://acp.copernicus.org/articles/21/7321/2021/acp-21-7321-2021-supplement.pdf,2026-09-21,76b72afc87dacbef6a6f43ed5658358eed49ea3c32d88342c6c7fbf8bfd62b2b,,CC BY 4.0,metadata_only,"IAP species/source selector and CMB method support","No complete daily input/control package"
wu_pg_edata_389,"Source apportionment of fine organic carbon — PG repository dataset",https://doi.org/10.25500/edata.bham.00000389,2026-09-21,17f1e11d4375a41fbe73f3773bae5c245500bdba9eaa0c8b934caba3544cac0a,,Birmingham eData record,metadata_only,"Aggregate PG summaries","Not sample-level CMB output"
aphh_iap_edata_303,"Organic compounds in particulate matter from Beijing — related IAP dataset",https://doi.org/10.25500/edata.bham.00000303,2026-09-21,ba82a3c378fa8f6728871e73a5dd847fd2b9d2173510ad685dfab15de6af9fd9,,Birmingham eData record,metadata_only,"Related daily organic chemistry","Not proven to be the complete final CMB receptor matrix"
aphh_ceda_catalog,"CEDA APHH Beijing Birmingham filters catalogue",https://catalogue.ceda.ac.uk/uuid/b9d6fc06b827470783e518e65799384c/,2026-09-21,,11947,CEDA terms; registered access,link_only,"One winter-IAP NASA Ames file is catalogued","HTTP 401 without a registered CEDA login; MD5 68dd907575be4037e1e7fbf875656077"
xu_2021_rsc_esi_archived,"Xu et al. multi-method RSC electronic supplement — archived publisher payload",https://www.rsc.org/suppdata/d0/fd/d0fd00095g/d0fd00095g1.pdf,2026-09-21,34330c51b8e857f6b69da5ac45a8d15b9edaf2dcd2711201ed5ce34090126c0b,5753848,Publisher supplement,metadata_only,"Aggregate tables and plotted time series/correlations","Current publisher URL returns 404; no daily numerical CMB table"
tian_chengdu_preprint,"Tian et al. PM2.5 source apportionment using organic marker-based CMB",https://acp.copernicus.org/preprints/acp-2021-1007/acp-2021-1007.pdf,2026-09-21,cc74f7341a50d215040fabab4570e8ffa276278b9944734df40cdbd1689e9226,721836,CC BY 4.0,metadata_only,"Chengdu source-profile sensitivity and method-system comparison","Raw PDF retained outside GitHub"
chengdu_edata_745,"Organic components in PM2.5 of a Chinese megacity",https://edata.bham.ac.uk/745/,2026-09-21,daa48d6e1c8f0aa3ee0ae2f70d75922445f657eec91fa9cbdc6fc57c9cbad021,29568,CC BY 4.0,metadata_only,"64 dated Chengdu organic-component rows","Repository MD5 matched; workbook retained outside GitHub"
tian_chengdu_final,"Tian et al. 2023 Chengdu CMB final article",https://doi.org/10.1016/j.atmosenv.2022.119477,2026-09-21,97e9c3c586fc2682df842cfb2ad14c53ee5bab567735bad2aae4e8ab224e4927,,Publisher article; institutional manuscript,metadata_only,"Final Chengdu profile-sensitivity methods and results","Official Birmingham PDF audited outside GitHub"
tian_chengdu_final_si,"Tian et al. 2023 final supplement",https://ars.els-cdn.com/content/image/1-s2.0-S1352231022005428-mmc1.docx,2026-09-21,121ff9d5c0da33103c33c33c3c474c5cf4549ecbc23db7e569a4ba901bab4334,,Publisher supplement,metadata_only,"Figures and average contributions","No raw daily CMB outputs"
tian_2021_profiles_si,"Tian et al. local Chengdu source-profile supplement",https://ars.els-cdn.com/content/image/1-s2.0-S0045653521008997-mmc1.docx,2026-09-21,dd5b77ef1bb09bce2f598dc00431a9c16d4cf47a54009d70a7b48ef3ab303328,,Publisher supplement,metadata_only,"Mean organic profiles for 15 source subtypes","No per-species CMB profile-uncertainty matrix"
